District name,Name,Area,Population,Density
Mitte,Mitte,10.70,79582,7445
Mitte,Moabit,7.72,69425,8993
Mitte,Hansaviertel,0.53,5889,11111
Mitte,Tiergarten,5.17,12486,2415
Mitte,Wedding,9.23,76363,8273
Mitte,Gesundbrunnen,6.13,82729,13496
Friedrichshain-Kreuzberg,Friedrichshain,9.78,114050,11662
Friedrichshain-Kreuzberg,Kreuzberg,10.40,147227,14184
Pankow,Prenzlauer Berg,11.00,142319,12991
Pankow,Weißensee,7.93,45485,5736
Pankow,Blankenburg,6.03,6550,1086
Pankow,Heinersdorf,3.95,6580,1666
Pankow,Karow,6.65,18258,2746
Pankow,Stadtrandsiedlung Malchow,5.68,1166,205
Pankow,Pankow,5.66,55854,9868
Pankow,Blankenfelde,13.40,1917,144
Pankow,Buch,18.20,13188,727
Pankow,Französisch Buchholz,12.00,18766,1560
Pankow,Niederschönhausen,6.49,26903,4145
Pankow,Rosenthal,4.90,8933,1823
Pankow,Wilhelmsruh,1.37,7216,5267
Charlottenburg-Wilmersdorf,Charlottenburg-Wilmersdorf,17.76,211519,24161
Charlottenburg-Wilmersdorf,Charlottenburg,10.60,118704,11198
Charlottenburg-Wilmersdorf,Wilmersdorf,7.16,92815,12963
Charlottenburg-Wilmersdorf,Schmargendorf,3.59,19750,5501
Charlottenburg-Wilmersdorf,Grunewald,22.30,10014,448
Charlottenburg-Wilmersdorf,Westend,13.50,37883,2800
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,6.20,17327,2795
Charlottenburg-Wilmersdorf,Halensee,1.27,13966,10997
Spandau,Spandau,8.03,33433,4164
Spandau,Haselhorst,4.73,13668,2891
Spandau,Siemensstadt,5.66,11388,2012
Spandau,Staaken,10.90,41470,3810
Spandau,Gatow,10.10,3908,386
Spandau,Kladow,14.80,13628,922
Spandau,Hakenfelde,20.40,26337,1292
Spandau,Falkenhagener Feld,6.88,34778,5056
Spandau,Wilhelmstadt,10.40,37080,3558
Steglitz-Zehlendorf,Steglitz,6.79,70555,10391
Steglitz-Zehlendorf,Lichterfelde,18.20,78338,4300
Steglitz-Zehlendorf,Lankwitz,6.99,40385,5778
Steglitz-Zehlendorf,Zehlendorf,18.80,57902,3075
Steglitz-Zehlendorf,Dahlem,8.36,14966,1784
Steglitz-Zehlendorf,Nikolassee,19.61,15899,811
Steglitz-Zehlendorf,Wannsee,23.68,9044,382
Steglitz-Zehlendorf,Schlachtensee,4.05,10573,2611
Tempelhof-Schöneberg,Schöneberg,10.60,116743,11003
Tempelhof-Schöneberg,Friedenau,1.65,26736,16204
Tempelhof-Schöneberg,Tempelhof,12.20,54382,4458
Tempelhof-Schöneberg,Mariendorf,9.38,48882,5211
Tempelhof-Schöneberg,Marienfelde,9.15,30151,3295
Tempelhof-Schöneberg,Lichtenrade,10.10,49451,4896
Neukölln,Neukölln,11.70,154127,13173
Neukölln,Britz,12.40,38334,3091
Neukölln,Buckow,6.35,38018,5987
Neukölln,Rudow,11.80,41040,3478
Neukölln,Gropiusstadt,2.66,35844,13475
Treptow-Köpenick,Treptow,2.31,10426,4513
Treptow-Köpenick,Alt-Treptow,2.31,10426,4513
Treptow-Köpenick,Plänterwald,3.01,10618,3528
Treptow-Köpenick,Baumschulenweg,4.82,16780,3481
Treptow-Köpenick,Johannisthal,6.54,17650,2699
Treptow-Köpenick,Niederschöneweide,3.49,10043,2878
Treptow-Köpenick,Altglienicke,7.89,26101,3308
Treptow-Köpenick,Adlershof,6.11,15112,2473
Treptow-Köpenick,Bohnsdorf,6.52,10751,1649
Treptow-Köpenick,Oberschöneweide,6.18,17094,2766
Treptow-Köpenick,Köpenick,34.90,59201,1695
Treptow-Köpenick,Friedrichshagen,14.00,17285,1233
Treptow-Köpenick,Rahnsdorf,21.50,8891,414
Treptow-Köpenick,Grünau,9.13,5482,600
Treptow-Köpenick,Müggelheim,22.20,6350,286
Treptow-Köpenick,Schmöckwitz,17.10,4117,240
Marzahn-Hellersdorf,Marzahn,19.50,102398,5240
Marzahn-Hellersdorf,Biesdorf,12.40,24543,1973
Marzahn-Hellersdorf,Kaulsdorf,8.81,18732,2126
Marzahn-Hellersdorf,Mahlsdorf,12.90,26852,2075
Marzahn-Hellersdorf,Hellersdorf,8.10,72602,8963
Lichtenberg,Friedrichsfelde,5.55,50010,9011
Lichtenberg,Karlshorst,6.60,21329,3232
Lichtenberg,Lichtenberg,7.22,32295,4473
Lichtenberg,Falkenberg,3.06,1164,380
Lichtenberg,Malchow,1.54,450,292
Lichtenberg,Wartenberg,6.92,2433,352
Lichtenberg,Neu-Hohenschönhausen,5.16,53698,10407
Lichtenberg,Alt-Hohenschönhausen,9.33,41780,4478
Lichtenberg,Fennpfuhl,2.12,30932,14591
Lichtenberg,Rummelsburg,4.52,17567,3887
Reinickendorf,Reinickendorf,10.50,72859,6939
Reinickendorf,Tegel,33.70,33417,992
Reinickendorf,Konradshöhe,2.20,5997,2726
Reinickendorf,Heiligensee,10.70,17641,1649
Reinickendorf,Frohnau,7.80,17025,2183
Reinickendorf,Hermsdorf,6.10,16503,2705
Reinickendorf,Waidmannslust,2.30,10022,4357
Reinickendorf,Lübars,5.00,4915,983
Reinickendorf,Wittenau,5.87,22696,3866
Reinickendorf,Märkisches Viertel,3.20,35206,11002
Reinickendorf,Borsigwalde,2.03,6432,3168